Date,Open,High,Low,Adj Close,Volume,Prev Day,Target,Adj Close Change,headline_score
2023-11-16,248.58999633789062,249.4499969482422,247.27000427246094,246.68443298339844,7051600,,0,,0.0
2023-11-17,249.4499969482422,250.24000549316406,248.66000366210938,247.66693115234375,7238200,246.68443298339844,1,0.39828138203250596,0.0
2023-11-20,249.61000061035156,250.92999267578125,245.60000610351562,248.07382202148438,8604200,247.66693115234375,1,0.1642895429145197,0.0
2023-11-21,250.02999877929688,253.33999633789062,250.02999877929688,250.31666564941406,7213700,248.07382202148438,1,0.9041033066904847,0.0
2023-11-22,253.0,254.5399932861328,252.66000366210938,251.79534912109375,5701400,250.31666564941406,1,0.5907251392325064,0.20864886542161307
2023-11-24,254.19000244140625,254.6999969482422,253.5,252.3709716796875,1640900,251.79534912109375,1,0.22860730375005023,0.3084227376514011
2023-11-27,254.3000030517578,254.97999572753906,252.52000427246094,252.21217346191406,5478900,252.3709716796875,0,-0.0629225368973807,0.09290064232689994
2023-11-28,253.85000610351562,254.14999389648438,251.61000061035156,251.0212860107422,5234900,252.21217346191406,0,-0.4721768322383135,-0.08891230821609497
2023-11-29,253.9199981689453,256.07000732421875,253.52000427246094,252.30148315429688,4955100,251.0212860107422,1,0.5099954525370043,0.32576025194591945
2023-11-30,254.25,256.7699890136719,253.1699981689453,254.73287963867188,6874700,252.30148315429688,1,0.963686956563814,0.2142956629395485
2023-12-01,255.7899932861328,256.9100036621094,253.89999389648438,254.50466918945312,3939400,254.73287963867188,0,-0.08958814014996541,0.5415526760949029
2023-12-04,255.91000366210938,257.3900146484375,254.35000610351562,252.50991821289062,5247500,254.50466918945312,0,-0.7837777526500389,-0.0030795931816101074
2023-12-05,254.19000244140625,254.82000732421875,252.13999938964844,252.67860412597656,4199100,252.50991821289062,1,0.06680367816036537,-0.39755648374557495
2023-12-06,255.8000030517578,256.8299865722656,253.52999877929688,252.3610382080078,3874000,252.67860412597656,0,-0.1256797816606703,0.42928413301706314
2023-12-07,254.88999938964844,256.1400146484375,253.5,253.87945556640625,3589300,252.3610382080078,1,0.601684542582559,-0.05400405146858909
2023-12-08,255.0,256.0400085449219,253.8699951171875,253.800048828125,3732300,253.87945556640625,0,-0.03127733912304809,-0.6147249440352122
